symbol,name,sector,exchange
KDP,Keurig Dr Pepper Inc Common,Consumer Staples,Nasdaq
KEY,KeyCorp Common,Financials,NYSE
KEYS,Keysight Technologies Inc Common,Information Technology,NYSE
KHC,Kraft Heinz Co Common,Consumer Staples,Nasdaq
KIM,Kimco Realty Corp Common,Real Estate,NYSE
KKR,KKR & Co Inc Common,Financials,NYSE
KLAC,KLA Corp Common,Information Technology,Nasdaq
KMB,Kimberly-Clark Corp Common,Consumer Staples,Nasdaq
KMI,Kinder Morgan Inc Class P Common,Energy,NYSE
KO,Coca-Cola Co Common,Consumer Staples,NYSE
KR,Kroger Co Common,Consumer Staples,NYSE
KVUE,Kenvue Inc Common,Consumer Staples,NYSE
L,Loews Corp Common,Financials,NYSE
LDOS,Leidos Holdings Inc Common,Industrials,NYSE
LEN,Lennar Corporation Class A Common,Consumer Discretionary,NYSE
LH,Labcorp Holdings Inc Common,Health Care,NYSE
LHX,L3Harris Technologies Inc Common,Industrials,NYSE
LII,Lennox International Inc Common,Industrials,NYSE
LIN,Linde plc Common,Materials,Nasdaq
LLY,Eli Lilly and Co Common,Health Care,NYSE
LMT,Lockheed Martin Corp Common,Industrials,NYSE
LNT,Alliant Energy Corp Common,Utilities,Nasdaq
LOW,Lowe's Companies Inc Common,Consumer Discretionary,NYSE
LRCX,Lam Research Corp Common,Information Technology,Nasdaq
LULU,lululemon athletica inc. Common,Consumer Discretionary,Nasdaq
LUV,Southwest Airlines Co Common,Industrials,NYSE
LVS,Las Vegas Sands Corp Common,Consumer Discretionary,NYSE
LW,Lamb Weston Holdings Inc Common,Consumer Staples,NYSE
LYB,LyondellBasell Industries NV Common,Materials,NYSE
LYV,Live Nation Entertainment Inc Common,Communication Services,NYSE
MA,Mastercard Inc Class A Common,Financials,NYSE
MAA,Mid-America Apartment Communities Inc Common,Real Estate,NYSE
MAR,Marriott International Inc Class A Common,Consumer Discretionary,Nasdaq
MAS,Masco Corp Common,Industrials,NYSE
MCD,McDonald's Corp Common,Consumer Discretionary,NYSE
MCHP,Microchip Technology Inc Common,Information Technology,Nasdaq
MCK,McKesson Corp Common,Health Care,NYSE
MCO,Moody's Corp Common,Financials,NYSE
MDLZ,Mondelez International Inc Class A Common,Consumer Staples,Nasdaq
MDT,Medtronic Plc Common,Health Care,NYSE
MET,MetLife Inc Common,Financials,NYSE
META,Meta Platforms Inc Class A Common,Communication Services,Nasdaq
MGM,MGM Resorts International Common,Consumer Discretionary,NYSE
MKC,McCormick & Company Inc Common,Consumer Staples,NYSE
